time,totalmoves,turns,leveltype,turns/width
0.2839999198913574,330,74,generated,2.642857142857143
0.28099989891052246,336,71,generated,2.5357142857142856
0.21799993515014648,247,42,generated,1.5
0.28099989891052246,303,59,generated,2.107142857142857
0.19999980926513672,206,31,generated,1.1071428571428572
0.25099992752075195,278,55,generated,1.9642857142857142
0.20300006866455078,243,35,generated,1.25
0.17599987983703613,209,40,generated,1.4285714285714286
0.17499995231628418,206,29,generated,1.0357142857142858
0.30700016021728516,363,65,generated,2.3214285714285716
0.17799997329711914,187,23,generated,0.8214285714285714
0.22299981117248535,253,44,generated,1.5714285714285714
0.1770000457763672,197,28,generated,1.0
0.19800019264221191,223,25,generated,0.8928571428571429
0.19099998474121094,226,33,generated,1.1785714285714286
0.1940000057220459,227,45,generated,1.6071428571428572
0.19099998474121094,235,32,generated,1.1428571428571428
0.21000003814697266,231,47,generated,1.6785714285714286
0.33899998664855957,392,83,generated,2.9642857142857144
0.20000004768371582,234,47,generated,1.6785714285714286
0.21599984169006348,261,43,generated,1.5357142857142858
0.2649998664855957,305,56,generated,2.0
0.1809999942779541,221,47,generated,1.6785714285714286
0.17499995231628418,200,24,generated,0.8571428571428571
0.19000005722045898,217,43,generated,1.5357142857142858
0.19800019264221191,230,39,generated,1.3928571428571428
0.20399999618530273,219,25,generated,0.8928571428571429
0.17799997329711914,206,26,generated,0.9285714285714286
0.15999984741210938,183,28,generated,1.0
0.2050001621246338,255,39,generated,1.3928571428571428
0.25099992752075195,299,47,generated,1.6785714285714286
0.2049999237060547,237,58,generated,2.0714285714285716
0.3730001449584961,443,99,generated,3.5357142857142856
0.17799997329711914,197,35,generated,1.25
0.20800018310546875,241,36,generated,1.2857142857142858
0.1700000762939453,203,32,generated,1.1428571428571428
0.21899986267089844,241,41,generated,1.4642857142857142
0.23599982261657715,258,53,generated,1.8928571428571428
0.19300007820129395,206,29,generated,1.0357142857142858
0.32400012016296387,345,76,generated,2.7142857142857144
0.18500018119812012,210,31,generated,1.1071428571428572
0.3210000991821289,334,78,generated,2.7857142857142856
0.3580000400543213,413,99,generated,3.5357142857142856
0.21599984169006348,247,41,generated,1.4642857142857142
0.2049999237060547,239,32,generated,1.1428571428571428
0.17199993133544922,181,23,generated,0.8214285714285714
0.23799991607666016,251,49,generated,1.75
0.17400002479553223,193,21,generated,0.75
0.21399998664855957,232,37,generated,1.3214285714285714
0.23200011253356934,260,49,generated,1.75
0.39300012588500977,441,96,generated,3.4285714285714284
0.31400012969970703,347,65,generated,2.3214285714285716
0.28999996185302734,335,62,generated,2.2142857142857144
0.13499999046325684,155,19,generated,0.6785714285714286
0.23000001907348633,257,46,generated,1.6428571428571428
0.17500019073486328,199,32,generated,1.1428571428571428
0.24200010299682617,258,52,generated,1.8571428571428572
0.20599985122680664,247,40,generated,1.4285714285714286
0.3680000305175781,427,86,generated,3.0714285714285716
0.28600001335144043,313,81,generated,2.892857142857143
0.1490001678466797,167,25,generated,0.8928571428571429
0.32000017166137695,367,67,generated,2.392857142857143
0.18800020217895508,201,29,generated,1.0357142857142858
0.1770000457763672,197,33,generated,1.1785714285714286
0.1960000991821289,223,46,generated,1.6428571428571428
0.2070000171661377,237,31,generated,1.1071428571428572
0.3190000057220459,359,77,generated,2.75
0.22600007057189941,249,43,generated,1.5357142857142858
0.24499988555908203,271,34,generated,1.2142857142857142
0.18600010871887207,202,42,generated,1.5
0.17299985885620117,192,38,generated,1.3571428571428572
0.2630000114440918,269,52,generated,1.8571428571428572
0.16299986839294434,183,17,generated,0.6071428571428571
0.2349998950958252,261,45,generated,1.6071428571428572
0.24200010299682617,281,42,generated,1.5
0.1679999828338623,187,29,generated,1.0357142857142858
0.2050001621246338,239,32,generated,1.1428571428571428
0.2070000171661377,251,50,generated,1.7857142857142858
0.23200011253356934,238,41,generated,1.4642857142857142
0.17999982833862305,205,13,generated,0.4642857142857143
0.38499999046325684,302,63,human,1.7027027027027026
0.3149998188018799,460,122,human,3.2972972972972974
0.0409998893737793,114,24,human,0.7741935483870968
0.1550002098083496,254,84,human,2.7096774193548385
0.012000083923339844,53,5,human,0.2631578947368421
0.034999847412109375,123,36,human,1.8
0.026999950408935547,255,25,human,1.1904761904761905
0.002000093460083008,20,7,human,1.1666666666666667
0.0409998893737793,125,38,human,1.9
0.04200005531311035,125,38,human,1.9
0.10399985313415527,221,66,human,2.2
0.09800004959106445,140,19,human,0.5277777777777778
0.09599995613098145,140,19,human,0.5277777777777778
0.040000200271606445,125,38,human,1.9
0.03299999237060547,119,18,human,0.5806451612903226
0.13100004196166992,182,49,human,1.2894736842105263
0.04900002479553223,138,32,human,1.032258064516129
0.04900002479553223,138,32,human,1.032258064516129
0.06299996376037598,185,14,human,0.56
0.3269999027252197,432,41,human,1.1081081081081081
0.03400015830993652,133,13,human,0.65
0.3080000877380371,350,56,human,2.0
0.01900005340576172,79,15,human,0.75
0.01900005340576172,75,9,human,0.45
0.002000093460083008,17,4,human,0.5714285714285714
0.016000032424926758,153,47,human,2.1363636363636362
0.012999773025512695,72,6,human,0.3
0.003000020980834961,25,15,human,3.0
0.0009999275207519531,7,3,human,0.6
0.005000114440917969,31,9,human,1.0
0.006000041961669922,47,14,human,1.75
0.004999876022338867,31,9,human,1.0
0.0029997825622558594,20,4,human,0.5
0.05099987983703613,140,58,human,2.9
0.012999773025512695,52,8,human,0.4
